time_ns,frame,event
14729510948,267,3
14732182287,278,0
14732928324,267,4
14750135751,268,2
14750153160,269,1
14750155752,268,3
14752760625,279,0
14770942224,269,2
14770953712,270,1
14773554713,280,0
14791320172,270,2
14791333101,271,1
14793990743,281,0
14812056243,271,2
14812068403,272,1
14813527644,282,0
14832990271,272,2
14833001375,273,1
14835639433,283,0
14853568769,273,2
14853579746,274,1
14855066635,284,0
14874251846,274,2
14874264231,275,1
14876894929,285,0
14895097872,275,2
14895111248,276,1
14897741082,286,0
14915557231,276,2
14915570703,277,1
14917025144,287,0
14936344375,277,2
14936356663,278,1
14937803680,288,0
14957080222,278,2
14957093118,279,1
14958708171,289,0
14977602302,279,2
14977615039,280,1
14979605526,290,0
14998614925,280,2
14998626253,281,1
15000094550,291,0
15019388596,281,2
15019402101,282,1
15022047487,292,0
15033412126,268,4
15033415550,269,3
15036810942,269,4
15036814334,270,3
15040100570,270,4
15040103034,271,3
15040117723,282,2
15040132891,283,1
15042823591,293,0
15043444952,271,4
15043450520,272,3
15046887545,272,4
15046891161,273,3
15050203222,273,4
15050205878,274,3
15053524115,274,4
15053526675,275,3
15056843217,275,4
15056846897,276,3
15060149453,276,4
15060152558,277,3
15061006118,283,2
15061017606,284,1
15063470155,277,4
15063472299,278,3
15063648784,294,0
15066835753,278,4
15066842409,279,3
15070166439,279,4
15070169607,280,3
15073492452,280,4
15073494692,281,3
15076772928,281,4
15076777121,282,3
15080073917,282,4
15080077277,283,3
15082249946,284,2
15082260027,285,1
15084851171,295,0
15086654326,283,4
15086663030,284,3
15090126808,284,4
15102759995,285,2
15102773787,286,1
15102780091,285,3
15105390725,296,0
15106156634,285,4
15123596612,286,2
15123610884,287,1
15123624357,286,3
15126255919,297,0
15127102535,286,4
15144326411,287,2
15144343499,288,1
15144348715,287,3
15146987957,298,0
15147793868,287,4
15164896076,288,2
15164909677,289,1
15164915437,288,3
15167896705,299,0
15168321037,288,4
15185868122,289,2
15185882138,290,1
15185886522,289,3
15188531076,300,0
15189343611,289,4
15206716419,290,2
15206729124,291,1
15206733188,290,3
15209320173,301,0
15210133571,290,4
15227201059,291,2
15227216227,292,1
15227221348,291,3
15229842125,302,0
15231634016,291,4
15248191857,292,2
15248208465,293,1
15248213233,292,3
15250845787,303,0
15251582960,292,4
15269512936,293,2
15269532008,294,1
15269592554,293,3
15272164210,304,0
15272961993,293,4
15291016580,294,2
15291030948,295,1
15291038117,294,3
15292464845,305,0
